Id,SalePrice
1461,122522.09
1462,153638.249
1463,159890.077
1464,185141.87
1465,224551.134
1466,186425.753
1467,162396.029
1468,175057.417
1469,200586.233
1470,97653.746
1471,200595.331
1472,134693.339
1473,115232.418
1474,176560.726
1475,156021.702
1476,325269.562
1477,263970.964
1478,292870.096
1479,269871.438
1480,351800.934
1481,294323.966
1482,228100.188
1483,169602.31
1484,188007.943
1485,197825.474
1486,216990.955
1487,314022.359
1488,266996.923
1489,201540.014
1490,180805.666
1491,215437.931
1492,115787.68
1493,179315.538
1494,299480.561
1495,291301.087
1496,207873.464
1497,220792.676
1498,192518.012
1499,192518.012
1500,167313.786
1501,179336.814
1502,187232.9
1503,257061.118
1504,256275.706
1505,211804.776
1506,198991.865
1507,237192.233
1508,207996.745
1509,185971.501
1510,140541.42
1511,139981.933
1512,155442.62
1513,194033.633
1514,122170.364
1515,197733.617
1516,182762.366
1517,143798.51
1518,162549.684
1519,212205.372
1520,117262.905
1521,120551.916
1522,182707.778
1523,98024.703
1524,113761.418
1525,108661.488
1526,107754.058
1527,109022.943
1528,147105.788
1529,137466.891
1530,173536.773
1531,122204.22
1532,82908.548
1533,148772.473
1534,146785.139
1535,138733.171
1536,122609.697
1537,51774.278
1538,218369.286
1539,278423.662
1540,148344.908
1541,184886.7
1542,142793.932
1543,217385.984
1544,67055.833
1545,140885.952
1546,169312.754
1547,129810.031
1548,157951.1
1549,136581.456
1550,155196.832
1551,139704.224
1552,153142.052
1553,140830.954
1554,147915.288
1555,145999.987
1556,115969.134
1557,105513.836
1558,129953.601
1559,102914.898
1560,161091.004
1561,100337.102
1562,109299.706
1563,102270.654
1564,151720.491
1565,150437.824
1566,215257.551
1567,87881.918
1568,205987.747
1569,93570.004
1570,147426.224
1571,105402.053
1572,121106.246
1573,211602.472
1574,144393.93
1575,206059.465
1576,240280.834
1577,199208.148
1578,177840.455
1579,131038.449
1580,218276.702
1581,111462.864
1582,122644.564
1583,284739.042
1584,242882.964
1585,145590.782
1586,35529.474
1587,110233.64
1588,121051.658
1589,107585.61
1590,143746.86
1591,57109.446
1592,122856.63
1593,145116.328
1594,140887.816
1595,119096.838
1596,220483.795
1597,187139.037
1598,214634.662
1599,216172.152
1600,221176.087
1601,1924.2
1602,155615.657
1603,81718.124
1604,243482.934
1605,277144.414
1606,169452.517
1607,219844.55
1608,218539.232
1609,194871.154
1610,147317.876
1611,143703.92
1612,155914.926
1613,154223.284
1614,105166.161
1615,63653.082
1616,63653.082
1617,86833.312
1618,105752.8
1619,120969.183
1620,205255.248
1621,146190.594
1622,132550.659
1623,249482.341
1624,200765.247
1625,139359.938
1626,179120.184
1627,185340.162
1628,290816.603
1629,210002.236
1630,288526.524
1631,233910.33
1632,247969.792
1633,198056.146
1634,185483.866
1635,178249.288
1636,162959.528
1637,178535.472
1638,236687.484
1639,189043.953
1640,263921.399
1641,190621.191
1642,230615.222
1643,257398.692
1644,253321.599
1645,159327.581
1646,163355.97
1647,193249.429
1648,137424.41
1649,113814
1650,98876.81
1651,98876.81
1652,134693.339
1653,135688.811
1654,181121.442
1655,183670.807
1656,176560.726
1657,181121.442
1658,176560.726
1659,157556.388
1660,141874.592
1661,347106.97
1662,347604.564
1663,315717.95
1664,369569.494
1665,299067.582
1666,278423.93
1667,302897.228
1668,303272.047
1669,283347.065
1670,303300.486
1671,224551.126
1672,336718.706
1673,300681.488
1674,267168.924
1675,173527.604
1676,176756.728
1677,200516.458
1678,368303.594
1679,288900.378
1680,287413.434
1681,261633.61
1682,265372.402
1683,202597.521
1684,201475.68
1685,176255.264
1686,190066.798
1687,197825.474
1688,212009.37
1689,210141.786
1690,203526.369
1691,195948.792
1692,277483.472
1693,197825.474
1694,177527.972
1695,200601.562
1696,266343.794
1697,201016.342
1698,318227.179
1699,287501.017
1700,242127.191
1701,276597.556
1702,275819.772
1703,263732.41
1704,270808.026
1705,231505.538
1706,334827.982
1707,206249.662
1708,208546.068
1709,295077.244
1710,240594.306
1711,272846.679
1712,252569.98
1713,236319.678
1714,214496.905
1715,221113.325
1716,197392.214
1717,189759.117
1718,120902.608
1719,222773.732
1720,261430.634
1721,192236.622
1722,91732.542
1723,138258.914
1724,229004.008
1725,241501.08
1726,193793.792
1727,174644.43
1728,209995.002
1729,174821.588
1730,204813.04
1731,124316.004
1732,132336.232
1733,108907.134
1734,110335.866
1735,105479.718
1736,103488.774
1737,287104.362
1738,221856.059
1739,302605.871
1740,194964.274
1741,174983.204
1742,179336.814
1743,206088.836
1744,250715.364
1745,221776.112
1746,285851.659
1747,248107.115
1748,238366.008
1749,146194.748
1750,149031.972
1751,248112.556
1752,103597.95
1753,155124.048
1754,235946.969
1755,172100.088
1756,92897.96
1757,103432.038
1758,142845.462
1759,168696.736
1760,149534.193
1761,144760.14
1762,188000.906
1763,179523.07
1764,109103.562
1765,192772.961
1766,180145.027
1767,186294.085
1768,116399.962
1769,197295.287
1770,136111.686
1771,120021.8
1772,130852.928
1773,92519.02
1774,172178.092
1775,139780.088
1776,134177.88
1777,97091.851
1778,108475.445
1779,133359.52
1780,205824.923
1781,117516.93
1782,48290.798
1783,156030.12
1784,83998.553
1785,112215.628
1786,171889.815
1787,222781.614
1788,14764.115
1789,124973.35
1790,43061.419
1791,261183.898
1792,158323.328
1793,157597.478
1794,153185.481
1795,142367.985
1796,147354.514
1797,179628.527
1798,111625.767
1799,94067.898
1800,118416.265
1801,109190.593
1802,184135.081
1803,195694.83
1804,129185.049
1805,137568.573
1806,149845.626
1807,195940.902
